"","ID_SITE","DATE","HEURE","nomSite*","gpsLong*","gpsLat*","TEMPERATURE","FLUORESCENCE","PAR","SALINITE","PROFONDEUR"
"1","10","2019-09-03","06:50:32","Sola","3.145","42.4883","22.9637",0.2973,1.8,"38.0309","24.00"
"2","10","2019-09-03","06:50:31","Sola","3.145","42.4883","22.9835",0.3007,1.7,"38.0153","23.00"
"3","10","2019-09-03","06:50:29","Sola","3.145","42.4883","23.0099",0.2925,1.8,"38.0179","22.00"
"4","10","2019-09-03","06:50:27","Sola","3.145","42.4883","23.0271",0.2941,1.8,"38.0169","21.00"
"5","10","2019-09-03","06:50:26","Sola","3.145","42.4883","23.0304",0.2845,1.8,"38.0234","20.00"
"6","10","2019-09-03","06:50:24","Sola","3.145","42.4883","23.0283",0.2871,1.7,"38.0270","19.00"
"7","10","2019-09-03","06:50:22","Sola","3.145","42.4883","23.0315",0.2821,1.7,"38.0256","18.00"
"8","10","2019-09-03","06:50:20","Sola","3.145","42.4883","23.0352",0.2857,1.8,"38.0266","17.00"
"9","10","2019-09-03","06:50:18","Sola","3.145","42.4883","23.0391",0.2792,1.7,"38.0245","16.00"
"10","10","2019-09-03","06:50:17","Sola","3.145","42.4883","23.0471",0.2779,1.7,"38.0275","15.00"
"11","10","2019-09-03","06:50:15","Sola","3.145","42.4883","23.0533",0.2831,1.7,"38.0285","14.00"
"12","10","2019-09-03","06:50:13","Sola","3.145","42.4883","23.0726",0.2699,1.6,"38.0243","13.00"
"13","10","2019-09-03","06:50:11","Sola","3.145","42.4883","23.1087",0.26,1.4,"38.0205","12.00"
"14","10","2019-09-03","06:50:10","Sola","3.145","42.4883","23.1212",0.2477,1.5,"38.0267","11.00"
"15","10","2019-09-03","06:50:08","Sola","3.145","42.4883","23.1120",0.2536,1.6,"38.0285","10.00"
"16","10","2019-09-03","06:50:06","Sola","3.145","42.4883","23.1052",0.2451,1.5,"38.0297","9.00"
"17","10","2019-09-03","06:50:04","Sola","3.145","42.4883","23.1213",0.242,1.3,"38.0300","8.00"
"18","10","2019-09-03","06:50:02","Sola","3.145","42.4883","23.1228",0.2341,1.3,"38.0342","7.00"
"19","10","2019-09-03","06:50:01","Sola","3.145","42.4883","23.1230",0.231,1.3,"38.0353","6.00"
"20","10","2019-09-03","06:49:59","Sola","3.145","42.4883","23.1231",0.2329,1.4,"38.0375","5.00"
"21","10","2019-09-03","06:49:57","Sola","3.145","42.4883","23.1228",0.2236,1.4,"38.0376","4.00"
"22","10","2019-09-03","06:49:55","Sola","3.145","42.4883","23.1211",0.2174,1.3,"38.0397","3.00"
"23","10","2019-09-10","06:55:41","Sola","3.145","42.4883","20.2417",0.3976,1.7,"38.1465","24.00"
"24","10","2019-09-10","06:55:39","Sola","3.145","42.4883","20.2751",0.3989,2.5,"38.1439","23.00"
"25","10","2019-09-10","06:55:38","Sola","3.145","42.4883","20.3515",0.4086,2.1,"38.1749","22.00"
"26","10","2019-09-10","06:55:35","Sola","3.145","42.4883","20.4768",0.379,1.8,"38.2014","21.00"
"27","10","2019-09-10","06:55:33","Sola","3.145","42.4883","20.7122",0.3153,1.5,"38.0911","20.00"
"28","10","2019-09-10","06:55:31","Sola","3.145","42.4883","20.9406",0.3132,1.4,"38.1279","19.00"
"29","10","2019-09-10","06:55:29","Sola","3.145","42.4883","21.0340",0.2744,1.4,"38.1367","18.00"
"30","10","2019-09-10","06:55:27","Sola","3.145","42.4883","21.0667",0.2598,1.3,"38.1340","17.00"
"31","10","2019-09-10","06:55:25","Sola","3.145","42.4883","21.0672",0.2675,1.4,"38.1344","16.00"
