"","ID_SITE","DATE","HEURE","COEF_MAREE","MAREE","PROF_TEXT","PROF_NUM","nomSite*","gpsLat*","gpsLong*","T","qT","S","qS","O","qO","PH","qPH","NH4","qNH4","NO3","qNO3","NO2","qNO2","PO4","qPO4","SIOH4","qSIOH4","COP","qCOP","NOP","qNOP","MES","qMES","DN15","qDN15","DC13","qDC13","CHLA","qCHLA"
"1","12","1995-01-18","08:00:00","0.00","inc","F","50.00","Point B","43.6833","7.31667","13.830",2,"38.087",2,NA,9,NA,9,NA,9,"1.16",2,"0.08",2,"0.05",2,"1.36",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.26",2
"2","12","1995-01-18","08:00:00","0.00","inc","S","1.00","Point B","43.6833","7.31667","14.037",2,"38.036",2,NA,9,NA,9,NA,9,"0.62",2,"0.12",2,"0.03",2,"1.01",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.30",2
"3","12","1995-01-26","08:00:00","0.00","inc","F","50.00","Point B","43.6833","7.31667","13.864",2,"38.102",2,NA,9,NA,9,NA,9,"0.69",2,"0.14",2,"0.07",2,"1.02",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.30",2
"4","12","1995-01-26","08:00:00","0.00","inc","S","1.00","Point B","43.6833","7.31667","13.853",2,"38.175",2,NA,9,NA,9,NA,9,"0.66",2,"0.15",2,"0.07",2,"0.99",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.38",2
"5","12","1995-02-01","08:00:00","0.00","inc","F","50.00","Point B","43.6833","7.31667","13.877",2,"38.130",2,NA,9,NA,9,NA,9,"0.61",2,"0.20",2,"0.07",2,"0.84",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.33",2
"6","12","1995-02-01","08:00:00","0.00","inc","S","1.00","Point B","43.6833","7.31667","13.876",2,"38.191",2,NA,9,NA,9,NA,9,"0.63",2,"0.20",2,"0.07",2,"0.88",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.32",2
"7","12","1995-02-15","08:00:00","0.00","inc","F","50.00","Point B","43.6833","7.31667","13.654",2,"38.181",2,NA,9,NA,9,NA,9,"1.26",2,"0.19",2,"0.04",2,"1.40",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.29",2
"8","12","1995-02-15","08:00:00","0.00","inc","S","1.00","Point B","43.6833","7.31667","13.567",2,"38.172",2,NA,9,NA,9,NA,9,"0.59",2,"0.21",2,"0.01",2,"1.18",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.44",2
"9","12","1995-02-22","08:00:00","0.00","inc","F","50.00","Point B","43.6833","7.31667","13.548",2,"38.154",2,NA,9,NA,9,NA,9,"1.11",2,"0.13",2,"0.06",2,"1.72",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.23",2
"10","12","1995-02-22","08:00:00","0.00","inc","S","1.00","Point B","43.6833","7.31667","13.521",2,"37.893",2,NA,9,NA,9,NA,9,"0.00",2,"0.12",2,"0.01",2,"1.59",2,NA,9,NA,9,NA,9,NA,9,NA,9,"0.90",2
