"DATE","TIME","ABONDANCE","CI_up","CI_low"
2012-01-16,0,8.81107131469969,10.8571419142333,4.17394876421424
2012-01-17,1,8.70796145806514,10.5302915181438,4.15277087617137
2012-01-18,2,8.60083923533939,10.2119189308773,4.11878172806665
2012-01-19,3,8.48997616749904,9.90203805752751,4.07325638149164
2012-01-20,4,8.37563947972736,9.600724584153,4.01743527448815
2012-01-21,5,8.25809197488921,9.30810518173323,3.95252287320497
2012-01-22,6,8.13759191599811,9.02434635068006,3.87968549401603
2012-01-23,7,8.01439291673463,8.74964304951356,3.80004844230636
2012-01-24,8,7.88874383908116,8.48420726882129,3.71469261801906
2012-01-25,9,7.76088869715139,8.22825672547685,3.62465073874039
2012-01-26,10,7.6310665663141,7.98200386182404,3.53090332916906
2012-01-27,11,7.49951149674023,7.74564533966295,3.43437462210097
2012-01-28,12,7.36645243054007,7.25250167647583,3.60277905376838
2012-01-29,13,7.23211312170139,7.04384346541976,3.49578223186881
2012-01-30,14,7.09671205809346,6.84479984379548,3.38908101560784
2012-01-31,15,6.96046238486138,6.6554549891753,3.28329721164867
2012-02-01,16,6.8235718286038,6.47583732927725,3.17898045710668
2012-02-02,17,6.686242621802,6.30591574261065,3.07660623919759
2012-02-03,18,6.54867142705054,6.14559723530166,2.9765747575144
2012-02-04,19,6.41104926072844,5.99472614510213,2.87921072945653
2012-02-05,20,6.27356141584459,5.85308489208901,2.78476422630929
2012-02-06,21,6.13638738389146,5.72039626379419,2.69341261003829
2012-02-07,22,5.99970077564628,5.59632719109341,2.60526361832284
2012-02-08,23,5.86366924096776,5.48049394043238,2.52035961741282
2012-02-09,24,5.72845438774849,5.37246861784079,2.43868300918632
2012-02-10,25,5.5942117002968,5.27178685038523,2.36016274088116
2012-02-11,26,5.46109045753657,5.07069360365671,2.39194470147907
2012-02-12,27,5.32923365152619,4.98375634568473,2.31879646242694
2012-02-13,28,5.19877790690975,4.90252577542016,2.24846573656488
2012-02-14,29,5.0698534020194,4.82649723339489,2.18073895403591
2012-02-15,30,4.94258379244973,4.7551780154344,2.11539417827271
2012-02-16,31,4.81708613801706,4.68809757431887,2.05221075560216
2012-02-17,32,4.69347083410095,4.62481711930134,1.99097851299362
2012-02-18,33,4.57184154843597,4.56493825564096,1.93150614939609
2012-02-19,34,4.45229516448066,4.50811029964968,1.87362845963859
2012-02-20,35,4.33492173253287,4.45403591271044,1.81721203959645
2012-02-21,36,4.21980442978658,4.40247472430047,1.76215915046275
2012-02-22,37,4.1070195305324,4.35324466291492,1.70840947133488
2012-02-23,38,3.99663638769113,4.30622078771517,1.6559395448965
2012-02-24,39,3.88871742683638,4.26133151392717,1.604759821229
2012-02-25,40,3.78331815380723,4.21855225039184,1.5549093280757
2012-02-26,41,3.68048717693566,4.17789661412662,1.50644813779124
2012-02-27,42,3.58026624481534,4.13940554672762,1.45944795413033
2012-02-28,43,3.48269030042001,4.10313481976023,1.41398129507735
2012-02-29,44,3.3877875522418,4.0691415666363,1.37010988736702
2012-03-01,45,3.29557956296355,4.03747060049088,1.32787299871061
2012-03-02,46,3.2060813560081,4.00814135463265,1.28727649949825
2012-03-03,47,3.11930154012258,3.9811362997307,1.24828345357164
2012-03-04,48,3.03524245196112,3.95639164017731,1.21080697887727
2012-03-05,49,2.95390031642771,3.93379096823044,1.1747059915886
2012-03-06,50,2.87526542433659,3.91316236440392,1.1397842580845
2012-03-07,51,2.79932232674345,3.89427919089126,1.10579294295499
2012-03-08,52,2.72605004510155,3.87686455405302,1.07243658016673
2012-03-09,53,2.65542229620616,3.86059913964105,1.03938213538424
2012-03-10,54,2.58740773071261,3.84513187911213,1.00627059770403
2012-03-11,55,2.52197018385092,3.8300927126643,0.972730362897065
2012-03-12,56,2.45906893681718,3.8151065931896,0.938391564885865
2012-03-13,57,2.39865898720133,3.79980783435564,0.90290048543352
2012-03-14,58,2.34069132671526,3.71366376289357,0.936123402929102
2012-03-15,59,2.28511322441574,3.69622338529681,0.897922712017515
2012-03-16,60,2.23186851357571,3.67754246919516,0.857752773761315
2012-03-17,61,2.18089788034458,3.65741651951743,0.815443247613039
2012-03-18,62,2.13213915235424,3.63570200528,0.770889161577319
2012-03-19,63,2.08552758547161,3.61231976842723,0.724053752970112
2012-03-20,64,2.04099614696927,3.58725601999128,0.674968931734652
2012-03-21,65,1.99847579348173,3.56056114908634,0.623733615714719
2012-03-22,66,1.95789574223408,3.53234664203185,0.570510251458377
2012-03-23,67,1.91918373416832,3.50278044134456,0.51551985969065
2012-03-24,68,1.88226628774951,3.47208107276585,0.459035937317822
2012-03-25,69,1.84706894240384,3.44051084054922,0.401377515612847
2012-03-26,70,1.8135164907217,3.40836834558947,0.342901625822128
2012-03-27,71,1.78153319874669,3.37598052626022,0.283995367373355
2012-03-28,72,1.75104301386317,3.34369436588031,0.225067717789354
2012-03-29,73,1.72196975998667,3.31186836017226,0.166541173651119
2012-03-30,74,1.69423731995011,3.28086379811722,0.108843273367236
2012-03-31,75,1.66776980516193,3.2510358840382,0.0523980285063621
2012-04-01,76,1.64249171278597,3.22272471999905,-0.00238271691535741
2012-04-02,77,1.61832807085585,3.19624617688494,-0.0551079697300716
2012-04-03,78,1.59520457188612,3.17188270983883,-0.105416256913042
2012-04-04,79,1.57304769567662,3.14987421789691,-0.152984181674073
2012-04-05,80,1.55178482212384,3.13040910627113,-0.197534711817475
2012-04-06,81,1.53134433495267,3.11361577898026,-0.238844981932765
2012-04-07,82,1.51165571736216,3.09955486414061,-0.276753324046155
2012-04-08,83,1.49264964063963,3.08821254730976,-0.311165178448509
2012-04-09,84,1.47425804683791,3.07949545138148,-0.34205748593681
2012-04-10,85,1.45641422663031,3.07322754487526,-0.369481134130471
2012-04-11,86,1.43905289345708,3.06914957344462,-0.393561033732533
2012-04-12,87,1.42211025505541,3.06692148149521,-0.414493444899322
2012-04-13,88,1.40552408342312,3.06612821270082,-0.432540266621407
2012-04-14,89,1.38923378420356,3.06628914357279,-0.44802014697946
2012-04-15,90,1.37318046639706,3.15603021442282,-0.550455470756629
2012-04-16,91,1.35730701320258,3.15676528462154,-0.562222227379532
2012-04-17,92,1.34155815467333,3.15671363403864,-0.572530707309245
2012-04-18,93,1.32588054273218,3.15529155999765,-0.581776572977159
2012-04-19,94,1.31022282893893,3.15194440087715,-0.590330762450996
2012-04-20,95,1.29453574523259,3.14616965409522,-0.598521440485846
2012-04-21,96,1.27877218769031,3.13753849416635,-0.606618087681043
2012-04-22,97,1.26288730315224,3.1257141588093,-0.614818975812286
2012-04-23,98,1.2468385783618,3.11046577266415,-0.623243092061177
2012-04-24,99,1.23058593106584,3.09167643655572,-0.631927258961884
2012-04-25,100,1.21409180231443,3.06934481497312,-0.640828775451699
2012-04-26,101,1.1973212489973,3.04357997215825,-0.649833421166752
2012-04-27,102,1.18024203546067,3.01458978365813,-0.658768178193161
2012-04-28,103,1.16282472286744,2.98266381685065,-0.667417593775658
2012-04-29,104,1.14504275480169,2.94815205844661,-0.675542390282813
2012-04-30,105,1.12687253748087,2.91144120561685,-0.68289876572291
2012-05-01,106,1.10829351283119,2.87293038693067,-0.689256837152707
2012-05-02,107,1.08928822260899,2.83300812503425,-0.694416852609859
2012-05-03,108,1.06984236171836,2.79203211127285,-0.698222103435189
2012-05-04,109,1.04994481888718,2.66730251314447,-0.617557396280208
2012-05-05,110,1.02958770292323,2.62608750929933,-0.619390806319046
2012-05-06,111,1.0087663528816,2.58461170126684,-0.619769266959718
2012-05-07,112,0.987479330634554,2.54299059590292,-0.618751862251582
2012-05-08,113,0.965728394544643,2.501275452868,-0.616446368298436
2012-05-09,114,0.943518453199102,2.45945907897671,-0.613001235488935
2012-05-10,115,0.920857498462748,2.41748408557877,-0.608596274495531
2012-05-11,116,0.897756517443308,2.37525270716145,-0.603432836180062
2012-05-12,117,0.874229383328047,2.33263736015014,-0.597724157488733
2012-05-13,118,0.850292725435653,2.28949125618852,-0.591686392645526
2012-05-14,119,0.825965779221478,2.24565854532643,-0.585530685254541
2012-05-15,120,0.80127021736691,2.20098362704073,-0.579456481504694
2012-05-16,121,0.776229963462965,2.15531941268863,-0.573646150969798
2012-05-17,122,0.750870990153209,2.10853444056334,-0.568260877168439
2012-05-18,123,0.725221103920904,2.06051882923963,-0.563437707759381
2012-05-19,124,0.699309718980498,2.01118910652356,-0.559287612873288
2012-05-20,125,0.673167622955881,1.96049197387822,-0.555894385964745
2012-05-21,126,0.646826737191439,1.90840706577541,-0.553314229626432
2012-05-22,127,0.62031987464236,1.85494874722905,-0.551575893351412
2012-05-23,128,0.593680498326522,1.8001669682709,-0.550681265482158
2012-05-24,129,0.566942483292034,1.74414716848465,-0.550606361933525
2012-05-25,130,0.540139884964945,1.68700920437701,-0.551302694357642
2012-05-26,131,0.513306716595832,1.62890526282937,-0.552699035141533
2012-05-27,132,0.486476738328521,1.5700167294222,-0.554703621256725
2012-05-28,133,0.459683260177237,1.51055000382705,-0.557206849359444
2012-05-29,134,0.432958960929142,1.45073129659143,-0.560084507521514
2012-05-30,135,0.406335724697117,1.39080050104836,-0.563201563017856
2012-05-31,136,0.379844496542533,1.37895331614981,-0.614365491008546
2012-06-01,137,0.35351515827894,1.31811643629161,-0.616113631923574
2012-06-02,138,0.327376425263831,1.25790907657394,-0.617687376145716
2012-06-03,139,0.30145576469429,1.19855581090563,-0.618957558482517
2012-06-04,140,0.275779335649801,1.1402585699971,-0.619808228645022
2012-06-05,141,0.250371950876225,1.08319080857688,-0.620141100068358
2012-06-06,142,0.225257060082216,1.02749306266045,-0.619879238528244
2012-06-07,143,0.200456754324298,0.973270175821534,-0.618969735103811
2012-06-08,144,0.175991790889307,0.920590350633162,-0.617385178331867
2012-06-09,145,0.151881637941105,0.869486037635512,-0.615123836084524
2012-06-10,146,0.128144538079196,0.819956527282842,-0.612208565904618
2012-06-11,147,0.104797589855888,0.771971979341705,-0.608684577996028
2012-06-12,148,0.0818568462106571,0.725478525670313,-0.6046162632101
2012-06-13,149,0.0593374286996248,0.680404027167111,-0.600083358138809
2012-06-14,150,0.0372536563184035,0.636664057601394,-0.595176745181279
2012-06-15,151,0.015619187631874,0.594167722330259,-0.589994177503029
2012-06-16,152,-0.00555282517089983,0.552822988967868,-0.584636182595846
2012-06-17,153,-0.026249571789481,0.512541296882972,-0.579202342463896
2012-06-18,154,-0.0464584105159184,0.473241309258255,-0.573788083311193
2012-06-19,155,-0.0661666879052265,0.434851763324954,-0.568482042258951
2012-06-20,156,-0.0853615533623055,0.397313452473525,-0.563364020269792
2012-06-21,157,-0.104029770789622,0.360580433216744,-0.558503483596279
2012-06-22,158,-0.122157529650173,0.324620588985607,-0.553958542555278
2012-06-23,159,-0.139730258019069,0.289415702783777,-0.549775315972895
2012-06-24,160,-0.156732440414422,0.254961194869523,-0.545987580559254
2012-06-25,161,-0.173147443401364,0.221265673657475,-0.542616604419626
2012-06-26,162,-0.188957352136705,0.188350431601347,-0.539671070540624
2012-06-27,163,-0.204142821148625,0.156248995885929,-0.537147007521643
2012-06-28,164,-0.218682942707499,0.125006818218965,-0.535027659918893
2012-06-29,165,-0.232555136121641,0.0946811595951097,-0.533283249077655
2012-06-30,166,-0.245735061167758,0.0653411942373749,-0.531870597846259
2012-07-01,167,-0.258196558625079,0.0370683208239352,-0.530732620356714
2012-07-02,168,-0.26991162051311,0.00995662708541573,-0.529797712658426
2012-07-03,169,-0.28085039213033,-0.0158865951150154,-0.528979122549158
2012-07-04,170,-0.290981207356128,-0.0403404424778518,-0.528174427220927
2012-07-05,171,-0.300270657920466,-0.0632703172493236,-0.527265302388786
2012-07-06,172,-0.308683696483199,-0.084528438188196,-0.526117819319055
2012-07-07,173,-0.316183772424726,-0.103955249999817,-0.524583544324189
2012-07-08,174,-0.32273299826648,-0.121382033719152,-0.522501721460447
2012-07-09,175,-0.328292343655211,-0.145849604637221,-0.5104881298152
2012-07-10,176,-0.332821852904764,-0.158356149304454,-0.507197793344888
2012-07-11,177,-0.336280881240471,-0.168384649059041,-0.50281092410103
2012-07-12,178,-0.338628344179698,-0.175784760693343,-0.497166536398953
2012-07-13,179,-0.339822973948142,-0.180430236353356,-0.490121407160382
2012-07-14,180,-0.339823576507234,-0.182227001824938,-0.481557573762563
2012-07-15,181,-0.338589282674666,-0.181119790744915,-0.471388587497882
2012-07-16,182,-0.336079786966148,-0.177096442514318,-0.459563695814968
2012-07-17,183,-0.332255568166805,-0.170189254039003,-0.446069385461373
2012-07-18,184,-0.327078086236334,-0.160473198852108,-0.430928111937628
2012-07-19,185,-0.320509950932648,-0.148061292219515,-0.414194473842027
2012-07-20,186,-0.312515058463629,-0.126455347685022,-0.402591881565644
2012-07-21,187,-0.303058693498667,-0.109165915999646,-0.382877669976634
2012-07-22,188,-0.292107594940547,-0.0896514665276328,-0.361888402586431
2012-07-23,189,-0.279629984923841,-0.0681026024323452,-0.339741118253574
2012-07-24,190,-0.265595561522027,-0.0447097848576195,-0.316553114322816
2012-07-25,191,-0.249975456572143,-0.0196577650395563,-0.292437601875766
2012-07-26,192,-0.232742160831537,0.00687857369954434,-0.267500591019199
2012-07-27,193,-0.213869419344717,0.0347370926191467,-0.24183884969207
2012-07-28,194,-0.193332100407978,0.0637702292232137,-0.215538690152273
2012-07-29,195,-0.171106041873649,0.0938460622387859,-0.188675310644341
2012-07-30,196,-0.147167878741785,0.124848882759355,-0.161312436498308
2012-07-31,197,-0.121494856058886,0.156679511327964,-0.133502045107325
2012-08-01,198,-0.0940646311007607,0.189255556504672,-0.105284006931343
2012-08-02,199,-0.0648550686830964,0.222511766143237,-0.0766855196563937
2012-08-03,200,-0.0338440332438372,0.256400583924438,-0.0477202501386628
2012-08-04,201,-0.00100918110135642,0.303277234414259,-0.0307713706159331
2012-08-05,202,0.0336722439641798,0.338578897111873,-0.00126796300657139
2012-08-06,203,0.0702236089099073,0.374494257677438,0.028648960213137
2012-08-07,204,0.10866908073968,0.41105765761875,0.0590365833400275
2012-08-08,205,0.149033804439266,0.448329003598999,0.0899753168574599
2012-08-09,206,0.191344067184882,0.486396286446961,0.12157169515587
2012-08-10,207,0.235627446542362,0.525378217029742,0.1539613170277
2012-08-11,208,0.281912940375431,0.565426746853652,0.187311568381859
2012-08-12,209,0.330231076111265,0.60672913731824,0.221823761124937
2012-08-13,210,0.380613996869893,0.649509127452039,0.257734209117082
2012-08-14,211,0.433095521753177,0.694026642331321,0.29531366021106
2012-08-15,212,0.487711177314671,0.740575410447435,0.334864441980589
2012-08-16,213,0.544498196900856,0.789477855514405,0.376714696885404
2012-08-17,214,0.603495484177688,0.841076739753105,0.421209223536712
2012-08-18,215,0.664743536746984,0.89572329980997,0.46869674019202
2012-08-19,216,0.728284325331708,0.953762049710166,0.519513855388887
2012-08-20,217,0.794161123587134,1.01551300253716,0.573966634796661
2012-08-21,218,0.862418283200966,1.0812527018936,0.632311300724678
2012-08-22,219,0.933100948607815,1.15119601706347,0.694736144373981
2012-08-23,220,1.00625470539633,1.22548097250445,0.761346998675594
2012-08-24,221,1.08192515636925,1.30415880330788,0.8321584680151
2012-08-25,222,1.160157419273,1.38719088661814,0.907092488052478
2012-08-26,223,1.24099554049281,1.47445325651969,0.985984775450519
2012-08-27,224,1.32448181956785,1.56574825903451,1.06859853374725
2012-08-28,225,1.41065604027336,1.66082181479357,1.15464368761328
2012-08-29,226,1.49955460530473,1.75938398775919,1.24379917979403
2012-08-30,227,1.59120957333562,1.86113026807631,1.33573563064295
2012-08-31,228,1.68564759946074,1.9657611804762,1.43013592761243
2012-09-01,229,1.78288878281173,2.07299841027388,1.52671194952075
2012-09-02,230,1.88294542847268,2.18259640723962,1.62521643797908
2012-09-03,231,1.98582073471624,2.29434919136402,1.72544981044491
2012-09-04,232,2.09150742099428,2.40809270282474,1.82726232722833
2012-09-05,233,2.19998631696877,2.52370344343138,1.93055241606262
2012-09-06,234,2.31122493803228,2.64109434669241,2.03526212718954
2012-09-07,235,2.42517607805749,2.76020882957921,2.14137068606886
2012-09-08,236,2.54177645529255,2.88101387943133,2.24888699221737
2012-09-09,237,2.66094545208258,2.97955653298495,2.38177807694759
2012-09-10,238,2.78258399310074,3.10319409596121,2.49272418213853
2012-09-11,239,2.9065736096277,3.22848961426793,2.60520962754177
2012-09-12,240,3.03277573872585,3.35543876370952,2.71928369898418
2012-09-13,241,3.16103130552634,3.48403022787011,2.83498966562325
2012-09-14,242,3.29116063394274,3.61424192416971,2.95235957377731
2012-09-15,243,3.4229637256955,3.7460380530238,3.07140971913745
2012-09-16,244,3.55622093945238,3.87936683344994,3.19213670795402
2012-09-17,245,3.69069409120926,4.01415873567241,3.3145139876826
2012-09-18,246,3.82612798399134,4.15032497737646,3.43848870599861
2012-09-19,247,3.96225235999786,4.2877560182929,3.56397874562353
2012-09-20,248,4.09878425209867,4.42631977475521,3.69086978663401
2012-09-21,249,4.23543069495083,4.5658592928175,3.81901227737989
2012-09-22,250,4.37189173989946,4.70618967991729,3.94821826229373
2012-09-23,251,4.50786370327887,4.87788006995717,4.04747227932489
2012-09-24,252,4.64304256573051,5.01953111275506,4.17764619491466
2012-09-25,253,4.77712743158087,5.16120023842053,4.30806658681752
2012-09-26,254,4.90982395284747,5.30254833542196,4.43836248675393
2012-09-27,255,5.04084762246632,5.44318734030618,4.56811601013616
2012-09-28,256,5.1699268459385,5.58267977647973,4.69686724835975
2012-09-29,257,5.2968057095256,5.72054246986601,4.82412358943522
2012-09-30,258,5.42124637581558,5.85625564036485,4.94937402497994
2012-10-01,259,5.54303105310543,5.98927796572923,5.07210824692546
2012-10-02,260,5.66196350259037,6.11906725339597,5.19183933212544
2012-10-03,261,5.77787006570821,6.24510519636469,5.30812778003374
2012-10-04,262,5.89060021206468,6.36692361615464,5.42060392386134
2012-10-05,263,6.00002662515779,6.48412893850169,5.52898558010265
2012-10-06,264,6.10604485779794,6.59642165415626,5.63308838331254
2012-10-07,265,6.20857260107312,6.70360824178783,5.73282747402501
2012-10-08,266,6.30754861957087,6.80560429419786,5.82821073619291
2012-10-09,267,6.40293141121674,6.90242904663025,5.91932517953012
2012-10-10,268,6.49469765262393,6.99419277811674,6.00631896632144
2012-10-11,269,6.58284049054624,7.08107936781915,6.08938182993025
2012-10-12,270,6.66736773730259,7.16332653987792,6.16872629105753
2012-10-13,271,6.74830002338628,7.24120609366642,6.24457137090544
2012-10-14,272,6.82566895441286,7.31500586673432,6.31712969029839
2012-10-15,273,6.89951531261181,7.38501451302318,6.38659813707462
2012-10-16,274,6.96988733570136,7.45150955867711,6.45315178890746
2012-10-17,275,7.03683909860911,7.51474871588497,6.51694051204168
2012-10-18,276,7.10042901644319,7.57496412227121,6.57808757694024
2012-10-19,277,7.16071848062422,7.63235901518824,6.6366896759765
2012-10-20,278,7.21777063432507,7.68710630988399,6.69281783575277
2012-10-21,279,7.27164928842881,7.73934858588381,6.74651884251714
2012-10-22,280,7.32241797513978,7.78919906058136,6.79781691628113
2012-10-23,281,7.37013913315558,7.83674321646477,6.84671546491213
2012-10-24,282,7.41487341587973,7.88204083220358,6.89319882072587
2012-10-25,283,7.45667911245294,7.92512823975707,6.93723391140615
2012-10-26,284,7.49561167031719,7.96602068717274,6.97877184922931
2012-10-27,285,7.53172330750823,8.00471473064878,7.01774944280911
2012-10-28,286,7.56506270280476,8.04119061221712,7.05409064859527
2012-10-29,287,7.59567475215861,8.07541460402265,7.08770798888122
2012-10-30,288,7.62360038040934,8.10734131933806,7.11850397172691
2012-10-31,289,7.64887639807771,8.13691600618414,7.14637255748586
2012-11-01,290,7.67153539397622,8.16407685281517,7.17120072692442
2012-11-02,291,7.69160565542164,8.18875734540281,7.19287021648317
2012-11-03,292,7.70911110894318,8.21088872591994,7.21125949515349
2012-11-04,293,7.72407127552219,8.23040260035271,7.22624606173497
2012-11-05,294,7.73650123554904,8.24723374099496,7.23770913700663
2012-11-06,295,7.74641159982511,8.26132310839217,7.2455328082465
2012-11-07,296,7.75380848406001,8.27262108560024,7.24960964954702
2012-11-08,297,7.7586934854077,8.28109086838297,7.24984478793776
2012-11-09,298,7.76106366064525,8.28671189110443,7.24616031273556
2012-11-10,299,7.7609115066196,8.28948309462514,7.2384998383502
2012-11-11,300,7.75822494456745,8.28942576934627,7.22683293873237
2012-11-12,301,7.75298731084728,8.28658564779578,7.21115908960756
2012-11-13,302,7.74517735750466,8.28103389338319,7.19151070085415
2012-11-14,303,7.73476926691624,8.27286665074805,7.16795481407717
2012-11-15,304,7.7217326855139,8.26220289859088,7.14059309298508
2012-11-16,305,7.70603278226772,8.24918047821353,7.10955985019997
2012-11-17,306,7.68763033818942,8.23395034787228,7.07501802406371
2012-11-18,307,7.66648187359071,8.21666931012173,7.03715321999122
2012-11-19,308,7.64253982017294,8.19749164460692,6.9961661307437
2012-11-20,309,7.61575274521527,8.17656021988446,6.95226381438993
2012-11-21,310,7.58606563514433,8.1539977301628,6.90565041004261
2012-11-22,311,7.55342024558646,8.12989869553224,6.85651789574088
2012-11-23,312,7.51775552460064,8.10432278244774,6.80503744297362
2012-11-24,313,7.47900811514486,8.07728986357041,6.75135181623003
2012-11-25,314,7.43711294192317,8.04877706883937,6.69556913080873
2012-11-26,315,7.39200388658136,8.01871790975028,6.6377581466858
2012-11-27,316,7.34361455375927,7.98700340802567,6.57794516385976
2012-11-28,317,7.29187912876729,7.9534850416405,6.51611250859164
2012-11-29,318,7.2367333256456,7.91797924040804,6.45219856236767
2012-11-30,319,7.17811542210611,7.88027311816871,6.3860992785273
2012-12-01,320,7.11596737538384,7.84013111310894,6.31767114138752
2012-12-02,321,7.05023601038087,7.79730221430806,6.24673553344024
2012-12-03,322,6.98087426873081,7.75152747377352,6.17308447389291
2012-12-04,323,6.90784250461472,7.70254753238779,6.09648766754901
2012-12-05,324,6.83110981040202,7.65010991997712,6.01670075444496
2012-12-06,325,6.75065535256337,7.59397592011847,5.93347458207166
2012-12-07,326,6.66646969590212,7.53392681693736,5.84656524302036
2012-12-08,327,6.57855609208043,7.46976936354695,5.75574454413361
2012-12-09,328,6.48693170677301,7.40134033153456,5.66081051161241
2012-12-10,329,6.39162875866527,7.32851002143427,5.56159750062703
2012-12-11,330,6.29269554300911,7.25118463988446,5.45798547414465
2012-12-12,331,6.19019731263506,7.16930748445775,5.34990804506016
2012-12-13,332,6.08421699025045,7.08285892478103,5.23735893431562
2012-12-14,333,5.97485568756737,6.99185522879488,5.12039657748168
2012-12-15,334,5.86223300931072,6.89634635300031,4.99914670289487
2012-12-16,335,5.74648712344199,6.79641288950412,4.87380279532159
2012-12-17,336,5.62777458295162,6.69216243252826,4.74462444150431
2012-12-18,337,5.50626988924754,6.58372568350075,4.61193362256776
2012-12-19,338,5.38216479239677,6.47125264756092,4.47610907225981
2012-12-20,339,5.25566732912777,6.35490927705924,4.33757886289765
2012-12-21,340,5.12700060542155,6.23487488339621,4.19681141954642
2012-12-22,341,4.99640133653184,6.11134056465121,4.05430520552997
2012-12-23,342,4.86411816319533,5.98450878478595,3.91057737559935
2012-12-24,343,4.73040976842451,5.85459409835176,3.7661517593745
2012-12-25,344,4.59554282442799,5.72182485658775,3.6215466128165
2012-12-26,345,4.45978980369098,5.58644557660661,3.47726264779327
2012-12-27,346,4.32342669190649,5.44871952905253,3.33377190146666
2012-12-28,347,4.18673064313589,5.30893102516481,3.19150801813084
2012-12-29,348,4.04997761918648,5.16738688006827,3.05085846947603
2012-12-30,349,3.91344005565634,5.02441660274293,2.91215912755653
2012-12-31,350,3.77738459638535,4.88037100714269,2.77569143406833
2013-01-01,351,3.64206993618556,4.73561913112983,2.64168220011351
2013-01-02,352,3.50774480876847,4.59054355743402,2.510305853078
2013-01-03,353,3.37464615284659,4.44553441784353,2.38168875538539
2013-01-04,354,3.24299748460925,4.30098249796863,2.25591508232167
2013-01-05,355,3.11300749933148,4.15727192726019,2.13303367954058
2013-01-06,356,2.98486891897025,4.01477293501035,2.0130653270545
2013-01-07,357,2.85875759644606,3.87383508933483,1.89600990373876
2013-01-08,358,2.73483188111359,3.73478133350837,1.7818530539456
2013-01-09,359,2.61323224390158,3.59790301664642,1.67057208206996
2013-01-10,360,2.49408115493861,3.60247121691779,1.42312570914416
2013-01-11,361,2.37748320134558,3.4687581028159,1.31943389078068
2013-01-12,362,2.26352542840073,3.33787312376783,1.21854286614123
2013-01-13,363,2.15227788357143,3.20996405192625,1.12042539659492
2013-01-14,364,2.04379434001822,3.08513431699324,1.02506475495483
2013-01-15,365,1.93811317414003,2.96344394163616,0.932455183797875
2013-01-16,366,1.83525837053218,2.84491144722134,0.842601501144339
2013-01-17,367,1.73524062733349,2.72951677239187,0.755517876271918
2013-01-18,368,1.63805853527589,2.61720526758175,0.67122578687211
2013-01-19,369,1.5436998047351,2.50789281415878,0.589751180414583
2013-01-20,370,1.45214251661001,2.40147205686449,0.511120905742996
2013-01-21,371,1.36335637482462,2.29781963006042,0.435358557679627
2013-01-22,372,1.27730394053654,2.19680411156037,0.36247998046493
2013-01-23,373,1.19394183064155,2.09829427636584,0.292488786554102
2013-01-24,374,1.11322186578306,2.00216708279073,0.225372336892296
2013-01-25,375,1.03509215571651,1.90831474696879,0.161098664378076
2013-01-26,376,0.95949811246219,1.8166502835406,0.0996147769351606
2013-01-27,377,0.886383384140409,1.72711102514508,0.0408466411356964
2013-01-28,378,0.815690704668798,1.63965986649303,-0.0152990624147337
2013-01-29,379,0.747362656575033,1.55428426654001,-0.0689315644289848
2013-01-30,380,0.681342346014374,1.47099332339336,-0.120171389434145
2013-01-31,381,0.61757399066786,1.38981345132296,-0.169145025813023
2013-02-01,382,0.556003422529732,1.31078329775259,-0.215979467643199
2013-02-02,383,0.496578508678129,1.23394853082856,-0.260797164233446
2013-02-03,384,0.439249493972479,1.15935702463076,-0.303711786312378
2013-02-04,385,0.383969270252222,1.08705480734838,-0.344825050652312
2013-02-05,386,0.3306935770444,1.01708296012199,-0.384224677036907
2013-02-06,387,0.279381139045465,0.949475495493784,-0.421983412881805
2013-02-07,388,0.229993745748752,0.884258125435897,-0.458158967049777
2013-02-08,389,0.18249627856711,0.821447756478761,-0.492794647346788
2013-02-09,390,0.136856690673401,0.761052519552576,-0.525920488237128
2013-02-10,391,0.0930459445711067,0.70307214489297,-0.557554674467923
2013-02-11,392,0.0510379121338317,0.647498516223031,-0.587705100317722
2013-02-12,393,0.010809241533492,0.594316273088749,-0.616370943159815
2013-02-13,394,-0.0276608048706913,0.543503367932181,-0.643544167295293
2013-02-14,395,-0.0643905379729681,0.495031520265492,-0.669210906019681
2013-02-15,396,-0.0993960513470358,0.448866541581307,-0.693352695514345
2013-02-16,397,-0.132691449669438,0.404968530568048,-0.715947553849493
2013-02-17,398,-0.164289093491885,0.363291959059047,-0.736970913415418
2013-02-18,399,-0.194199858028436,0.32378568574766,-0.756396426963982
2013-02-19,400,-0.222433403906134,0.286392947994184,-0.774196677470918
2013-02-20,401,-0.248998458073411,0.251051392783676,-0.790343831095362
2013-02-21,402,-0.273903103264293,0.217693216356391,-0.804810280834768
2013-02-22,403,-0.297155074574335,0.186245487822991,-0.817569335458265
2013-02-23,404,-0.318762061812826,0.156630733917384,-0.828596012437713
2013-02-24,405,-0.338732016352059,0.128767857684682,-0.83786799244126
2013-02-25,406,-0.357073461196441,0.102573450244088,-0.845366783322998
2013-02-26,407,-0.373795802939831,0.0779635283000845,-0.851079120025129
2013-02-27,408,-0.388909644168276,0.0548556878493783,-0.854998590763971
2013-02-28,409,-0.40242709469701,0.0331716056618931,-0.857127428907473
2013-03-01,410,-0.414362079806988,0.0128397476586141,-0.85747834770249
2013-03-02,411,-0.424730643369935,-0.0062019340511103,-0.856076230601483
